"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Mar 30 15:51:17 GMT 2023","Thu Mar 30 15:51:23 GMT 2023","6010","","Тесты добавления клиента","","com.github.Chestaci.AdditionOfACustomerTest","successfulAdditionOfACustomerWithSpecialCharactersTest","Проверка успешного создания клиента с заполнением полей специальными символами","Тест для осуществления проверки успешного добавления клиента"
"broken","Thu Mar 30 15:51:18 GMT 2023","Thu Mar 30 15:51:23 GMT 2023","5010","","Тесты добавления клиента","","com.github.Chestaci.AdditionOfACustomerTest","checkingTheErrorMessageWithSpaceFieldsTest","Проверка сообщения об ошибке при попытке создания клиента с заполнением полей пробелом","Тест для осуществления проверки сообщения об ошибке при неправильном добавлении клиента"
"broken","Thu Mar 30 15:51:18 GMT 2023","Thu Mar 30 15:51:23 GMT 2023","5106","","Тесты добавления клиента","","com.github.Chestaci.AdditionOfACustomerTest","successfulAdditionOfACustomerWithLettersAndNumbersTest","Проверка успешного создания клиента с заполнением полей буквами и цифрами","Тест для осуществления проверки успешного добавления клиента"
"broken","Thu Mar 30 15:51:13 GMT 2023","Thu Mar 30 15:51:23 GMT 2023","9856","","Тесты сортировки клиентов","","com.github.Chestaci.SortTest","successfulReverseSortTest","Проверка успешной сортировки клиентов по имени в обратном порядке","Тест для осуществления проверки успешной сортировки клиентов"
"broken","Thu Mar 30 15:51:18 GMT 2023","Thu Mar 30 15:51:23 GMT 2023","5303","","Тесты добавления клиента","","com.github.Chestaci.AdditionOfACustomerTest","successfulAdditionOfACustomerWithRussianAndLatinLettersInCamelCaseTest","Проверка успешного создания клиента с заполнением полейрусскими и латинскими буквами в разных регистрах","Тест для осуществления проверки успешного добавления клиента"
"broken","Thu Mar 30 15:51:18 GMT 2023","Thu Mar 30 15:51:23 GMT 2023","5384","","Тесты добавления клиента","","com.github.Chestaci.AdditionOfACustomerTest","successfulAdditionOfACustomerWithLongValuesTest","Проверка успешного создания клиента с заполнением полей длинными значениями","Тест для осуществления проверки успешного добавления клиента"
"broken","Thu Mar 30 15:51:18 GMT 2023","Thu Mar 30 15:51:23 GMT 2023","5526","","Тесты добавления клиента","","com.github.Chestaci.AdditionOfACustomerTest","successfulAdditionOfACustomerWithOneDigitTest","Проверка успешного создания клиента с заполнением полей одной цифрой","Тест для осуществления проверки успешного добавления клиента"
"broken","Thu Mar 30 15:51:17 GMT 2023","Thu Mar 30 15:51:23 GMT 2023","6016","","Тесты добавления клиента","","com.github.Chestaci.AdditionOfACustomerTest","checkingTheErrorMessageWithDuplicateClientTest","Проверка сообщения об ошибке при попытке добавления дубликата клиента","Тест для осуществления проверки сообщения об ошибке при неправильном добавлении клиента"
"broken","Thu Mar 30 15:51:18 GMT 2023","Thu Mar 30 15:51:23 GMT 2023","5562","","Тесты добавления клиента","","com.github.Chestaci.AdditionOfACustomerTest","checkingTheErrorMessageWithEmptyPostCodeTest","Проверка сообщения об ошибке при попытке создания клиента с пустым полем Post Code","Тест для осуществления проверки сообщения об ошибке при неправильном добавлении клиента"
"broken","Thu Mar 30 15:51:18 GMT 2023","Thu Mar 30 15:51:23 GMT 2023","4823","","Тесты поиска клиентов","","com.github.Chestaci.CustomerSearchTest","searchByMatchingLettersTest","Проверка успешного поиска клиентов по совпадению букв","Тест для осуществления проверки поиска клиентов"
"broken","Thu Mar 30 15:51:13 GMT 2023","Thu Mar 30 15:51:23 GMT 2023","9862","","Тесты добавления клиента","","com.github.Chestaci.AdditionOfACustomerTest","successfulAdditionOfACustomerTest","Проверка успешного добавления клиента","Тест для осуществления проверки успешного добавления клиента"
"broken","Thu Mar 30 15:51:17 GMT 2023","Thu Mar 30 15:51:23 GMT 2023","5736","","Тесты добавления клиента","","com.github.Chestaci.AdditionOfACustomerTest","checkingTheErrorMessageWithEmptyFirstNameTest","Проверка сообщения об ошибке при попытке создания клиента с пустым полем First Name","Тест для осуществления проверки сообщения об ошибке при неправильном добавлении клиента"
"broken","Thu Mar 30 15:51:18 GMT 2023","Thu Mar 30 15:51:23 GMT 2023","4958","","Тесты поиска клиентов","","com.github.Chestaci.CustomerSearchTest","searchNonexistentCustomerTest","Проверка поиска несуществующего клиента","Тест для осуществления проверки поиска клиентов"
"broken","Thu Mar 30 15:51:16 GMT 2023","Thu Mar 30 15:51:23 GMT 2023","6531","","Тесты сортировки клиентов","","com.github.Chestaci.SortTest","successfulSortTest","Проверка успешной сортировки клиентов по имени в алфавитном порядке","Тест для осуществления проверки успешной сортировки клиентов"
"broken","Thu Mar 30 15:51:18 GMT 2023","Thu Mar 30 15:51:23 GMT 2023","5166","","Тесты добавления клиента","","com.github.Chestaci.AdditionOfACustomerTest","checkingTheErrorMessageWithEmptyLastNameTest","Проверка сообщения об ошибке при попытке создания клиента с пустым полем Last Name","Тест для осуществления проверки сообщения об ошибке при неправильном добавлении клиента"
"broken","Thu Mar 30 15:51:17 GMT 2023","Thu Mar 30 15:51:23 GMT 2023","6492","","Тесты поиска клиентов","","com.github.Chestaci.CustomerSearchTest","searchByLastNameTest","Проверка успешного поиска клиента по фамилии","Тест для осуществления проверки поиска клиентов"
"broken","Thu Mar 30 15:51:17 GMT 2023","Thu Mar 30 15:51:23 GMT 2023","5704","","Тесты поиска клиентов","","com.github.Chestaci.CustomerSearchTest","searchByNumberTest","Проверка успешного поиска клиента по совпадению цифр","Тест для осуществления проверки поиска клиентов"
